timestamp,resort,skill,height,weight,piste,length,stiffness
2025-08-02 19:09:26,pamporovo,Начинаещ,172,dynamic,Зелена,158,Piste
2025-08-02 19:09:44,pamporovo,Експерт,172,speed,Зелена,175,Slalom
2025-08-02 19:09:59,pamporovo,Начинаещ,172,dynamic,Зелена,158,Piste
2025-08-02 19:10:09,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:11:16,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 19:11:21,pamporovo,Начинаещ,172,dynamic,Зелена,158,Piste
2025-08-02 19:11:25,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 19:11:29,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:12:00,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:14:48,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:14:53,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:15:05,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:15:09,pamporovo,Начинаещ,172,dynamic,Зелена,158,Piste
2025-08-02 19:15:19,pamporovo,Начинаещ,172,dynamic,Зелена,158,Piste
2025-08-02 19:15:24,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:16:09,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:16:13,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:16:36,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:16:36,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:16:40,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 19:16:55,pamporovo,Начинаещ,5,dynamic,Зелена,130,Piste
2025-08-02 19:17:01,pamporovo,Начинаещ,1,speed,Зелена,130,Slalom
2025-08-02 19:17:53,pamporovo,Начинаещ,1,speed,Зелена,130,Slalom
2025-08-02 19:17:57,pamporovo,Начинаещ,1,speed,Зелена,130,Slalom
